Id,Program,Y0s1_enrol,Y0s2_enrol,Y1s1_enrol,Y1s1_complete,Y1s1_grade,Y1s2_enrol,Y1s2_complete,Y1s2_grade,Y2s1_enrol,Y2s1_complete,Y2s1_grade,Y2s2_enrol,Y2s2_complete,Y2s2_grade,Y3s1_enrol,Y3s1_complete,Y3s1_grade,Y3s2_enrol,Y3s2_complete,Y3s2_grade,Y4s1_enrol,Y4s1_complete,Y4s1_grade,Y4s2_enrol,Y4s2_complete,Y4s2_grade,Rest_enrol,Rest_complete,Rest_grade,Failure
131386709,Management,46,30,36.5,36.5,11.452,36,36,13.236,30,7.5,13.6,30,24,12.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111354305,Nursing,30,24,30,30,14.933,30,30,17.333,30,30,13.767,30,30,16,30,30,12.733,30,30,11.967,0,0,0,0,0,0,0,0,0,0
111345828,Nursing,30,40,26,26,17,20,10,16,32,32,14.563,34,34,14.235,30,25,13.6,30,30,13.233,0,0,0,0,0,0,0,0,0,0
131393682,Biology,0,6,20,14,12.286,12,0,0,14,14,12,54,12,12.667,32,24,11.083,40,22,13.636,28,28,11.75,42,36,11.833,0,0,0,0
131383677,Informatics,41,36,36,19,14.053,48,30,12.4,33,9,12.333,48,6,11,30,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
131390060,Nursing,30,42,30,20,13,30,30,12.133,33,30,12.733,42,15,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131389177,Informatics,5,5,41,0,0,22,12,14,34,23,15.739,47,24,15.5,32,21,17,36,30,14.4,32,6,16,36,6,14,131,41,17.122,0
111335866,Nursing,0,10,30,30,16.5,30,30,16.5,30,30,15.433,30,20,17,30,30,13.7,30,30,13.667,30,30,14.567,30,30,15.533,0,0,0,0
131391546,Biology,34,32,35,29,12.621,34,28,14,30,19,13.053,30,30,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131395471,Informatics,36,54,30,0,0,42,6,11,0,0,0,0,0,0,12,0,0,60,0,0,29,5,10,42,0,0,409,43,10.814,1
131390235,Management,12,19,41.5,29.5,11.203,36,17,10.941,35,23.5,10.979,34.5,23.5,12.191,34.5,17.5,11.143,36.5,19,12.737,30,7.5,10.8,30,11.5,13.913,0,0,0,0
111364543,Nursing,30,24,30,30,13.667,30,30,14.667,32,32,13.563,30,30,16.5,30,28,12.571,30,30,13.667,0,0,0,0,0,0,0,0,0,0
111345846,Nursing,30,30,26,26,15.154,20,20,17,26,26,14.5,34,34,15.647,30,30,13.533,30,30,13.4,0,0,0,0,0,0,0,0,0,0
131384749,Nursing,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131388203,Nursing,0,12,30,30,17.5,48,30,16.1,30,30,17,36,30,14.233,30,30,16,39,30,13.5,30,30,12.967,30,21,14,0,0,0,0
111345842,Nursing,30,30,20,20,16,26,26,12.962,34,34,15.882,26,26,13.077,30,30,14.333,30,30,15.367,0,0,0,0,0,0,0,0,0,0
131383351,Biology,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131393018,Management,16,29.5,34,18,10.667,43,18,11.722,29.5,29.5,12.542,35,23.5,14.277,34.5,7,14.786,28,0,0,34,6,10,52.5,22.5,10,120.5,22,11.273,0
131382124,Nursing,25,10,30,20,12.05,30,20,13,30,30,12.267,30,30,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131393932,Management,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131391409,Management,30,44,30,30,11.517,36,35,12.029,30,30,11.1,30,24,12.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131390600,Management,21,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131391031,Biology,33,24,33,0,0,24,0,0,22,10,14.8,24,0,0,30,9,12,30,18,11.333,30,12,12.333,30,18,12.278,0,0,0,1
131397121,Biology,24,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131388441,Management,0,9,12,12,11.75,42,27,11.333,30,18,12,41.5,35.5,12.31,42,36,12.306,30,18.5,12.514,30,14,12.143,30,20,13.15,0,0,0,0
111335872,Nursing,30,30,30,30,15.933,30,30,17,36,36,14.722,30,30,14.667,30,24,14.625,30,30,14.467,0,0,0,0,0,0,0,0,0,0
131383482,Informatics,29,42,26,3,13,36,6,10,30,9,11.333,36,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131396619,Informatics,33,24,26,0,0,30,0,0,27,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131396452,Informatics,35,54,40,28,10.714,32,18,12.333,72,12,11.5,89,36,12.056,40,0,0,58,5,10,28,8,14.625,30,0,0,0,0,0,0
111345881,Nursing,30,30,26,26,15.808,20,20,16,26,26,14.269,34,34,15.235,30,30,12.633,30,30,14.7,0,0,0,0,0,0,0,0,0,0
131392028,Management,36,53,30,11.5,12.13,30,18,13.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131385753,Management,30,24,30,24,12.625,42,36,11.667,30,18,14.333,36,30,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131386582,Biology,18,18,28,28,13.857,36,26,16.308,35,30,13.2,36,30,13.8,30,15,11.467,30,24,12.667,0,0,0,0,0,0,0,0,0,0
131384682,Informatics,26,30,0,0,0,0,0,0,32,0,0,36,0,0,27,0,0,42,0,0,30,3,16,42,0,0,0,0,0,1
131395273,Informatics,30,30,30,0,0,30,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131393714,Management,14.5,7,41.5,29.5,16.356,35.5,28.5,15.596,36,24.5,10.286,34.5,28.5,12.175,30,24,10.938,30,26,11.192,0,0,0,0,0,0,0,0,0,0
131414632,Management,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131399487,Management,30,30,27.5,27.5,14.6,28.5,23.5,16.234,36.5,14.5,12.207,36.5,36.5,13.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131387799,Management,30,30,36,36,15.194,36,36,15.75,30,24,12.042,30,24,15.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131386977,Management,40,42,40.5,36.5,11.507,30,30,10.967,30,13.5,12,30,30,12.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131380873,Management,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131397871,Informatics,36,36,36,0,0,36,0,0,35,5,13,36,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131395977,Informatics,29,48,32,8,14.375,36,30,11.4,37,25,10.8,34,16,12,38,6,13,28,17,11.059,52,7,10,51,5,10,63,16,13.5,0
131391387,Informatics,24,30,36,30,13.8,36,24,13.5,48,30,12.467,24,18,13.667,30,12,12.75,30,24,13.25,0,0,0,0,0,0,0,0,0,0
131382547,Biology,30,34,30,30,12.9,30,30,13.2,30,30,13.467,30,30,13.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131387135,Biology,28,42,30,24,13.25,44,38,14.895,27,27,13.741,34,24,13.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131386923,Biology,31,29,30,2,16,30,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131393816,Management,34.5,36,34,0,0,36,17.5,11.857,30,20,11.1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131380728,Nursing,30,30,30,30,13.633,30,30,16.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131391994,Management,47,29.5,30,12,13.5,47.5,35.5,11.451,36,13,11.846,47.5,13,12,30,18,13.111,36,24,11.625,0,0,0,0,0,0,0,0,0,0
131392109,Management,53,53.5,36,19,10.105,36,18.5,11.189,30,16.5,12.545,30,16.5,13.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131402711,Management,24,34,24,0,0,60,0,0,35.5,23.5,10.255,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131379583,Nursing,36,30,22,22,12.364,25,22,13.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111335858,Nursing,30,30,30,30,16.267,30,30,17.333,30,30,15.533,30,30,15.333,30,30,16.4,30,30,16.267,0,0,0,0,0,0,0,0,0,0
111335869,Nursing,30,30,30,30,16.667,30,30,15.7,30,30,15.333,30,30,16.067,30,30,14.833,40,30,15.133,0,0,0,0,0,0,0,0,0,0
131392389,Biology,18,23,28,24,12.25,32,26,12.538,34,21,12.286,35,35,12.629,30,19,11.053,30,19,11.474,0,0,0,0,0,0,0,0,0,0
111345874,Nursing,30,30,20,20,15.5,26,26,15.154,34,34,14.824,26,26,16.615,30,30,15.8,30,30,15.2,0,0,0,0,0,0,0,0,0,0
111345888,Nursing,30,30,26,26,15.115,20,20,16.5,26,26,14.038,34,34,15,30,30,13.4,30,30,15.333,0,0,0,0,0,0,0,0,0,0
131383456,Informatics,30,36,34,28,11,42,30,11.4,28,17,12.471,36,18,11.333,30,15,10.8,36,6,13,0,0,0,0,0,0,0,0,0,0
131398568,Management,35.5,35.5,35.5,0,0,35,0,0,30,18,10.306,47.5,0,0,24,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1
111354342,Nursing,30,30,26,26,15.077,30,30,15.333,26,26,12.962,34,24,16,30,0,0,30,0,0,30,30,14.667,30,30,14.5,0,0,0,0
131402740,Nursing,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131393639,Management,37,30,35.5,35.5,11.366,30,30,11.467,30,17.5,12.6,30,30,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111345879,Nursing,30,30,26,26,14.769,20,20,16.5,26,26,14.692,34,34,14.706,30,30,13.5,30,30,15.733,0,0,0,0,0,0,0,0,0,0
131386241,Biology,34,35,30,8,11.25,30,19,12.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131400409,Informatics,0,6,7,0,0,80,33,13.939,30,23,14.739,75,14,10,73,35,12.171,53,26,13.538,56,26,11.692,75,42,14.619,130,43,13.349,0
131393672,Biology,2,0,13,11,12.545,41,27,11.852,30,30,12.2,32,28,12.5,34,19,10.158,36,24,10.75,32,25,10.96,29,18,13.333,0,0,0,0
131398233,Informatics,0,18,11,11,14.182,36,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131392875,Biology,0,22,30,12,14,30,7,13.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131379947,Management,30,36,30,30,14.3,30,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131380081,Nursing,30,30,30,30,14.767,30,30,15.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384358,Management,48,48,36,18,13.667,36,24,13,33,15,11,36,18,12.833,30,15,13,30,6,11,0,0,0,0,0,0,0,0,0,0
131381767,Informatics,41,42,29,0,0,42,0,0,30,3,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111345890,Nursing,30,30,26,26,15.769,20,20,16.5,26,26,14.692,34,34,15.706,30,30,14.767,30,30,16.333,0,0,0,0,0,0,0,0,0,0
131384355,Management,33,48,36,24,13,36,21,13.286,36,9,10.667,36,12,13.25,30,24,11.5,24,6,12,0,0,0,0,0,0,0,0,0,0
131385322,Informatics,34,36,32,9,14,36,0,0,30,3,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131391299,Management,35,36,35.5,6,10,35.5,12,10.5,36,18.5,11.324,41.5,7,12,36.5,0,0,36,6,10,0,0,0,0,0,0,0,0,0,1
131383785,Management,60,33,30,6,10,36,33,16,42,33,11,30,12,12,30,9,10,30,24,10.5,0,0,0,0,0,0,0,0,0,0
131382719,Informatics,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131393784,Biology,0,6,0,0,0,12,0,0,16,14,10.857,35,23,13.261,18,14,12.571,28,22,14.182,28,25,11.6,36,30,12.1,61,55,11.727,0
131395444,Biology,34,44,36,30,12.4,36,18,11.667,36,30,13.933,36,36,13,32,25,12.96,29,17,13.706,0,0,0,0,0,0,0,0,0,0
131380871,Nursing,20,30,30,14,15.929,30,8,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131384261,Informatics,34,36,30,6,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131382246,Nursing,30,30,30,30,13.033,30,30,14.667,30,30,13.733,30,30,13.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131389470,Management,29.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386994,Nursing,30,30,30,30,14.867,30,30,16.333,30,30,13.967,34,34,15.529,30,30,12.667,30,26,14.923,0,0,0,0,0,0,0,0,0,0
131380749,Informatics,30,36,30,30,12.7,30,30,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131387564,Management,36,36,30,18,14.111,30,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111374596,Nursing,0,10,40,30,16,24,24,14.375,12,12,15,30,20,18,30,18,11.889,15,15,15,30,30,12.567,30,15,14,60,60,12.4,0
131380417,Management,36,42,30,30,12.9,30,24,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131385111,Biology,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386621,Management,35.5,30,31.5,26,13.692,41.5,36,13.153,30,28.5,12.561,30,24,13.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131385182,Nursing,30,30,30,30,15.967,30,30,16.333,30,30,14.7,30,30,16,30,30,15.233,30,30,15.3,0,0,0,0,0,0,0,0,0,0
111335862,Nursing,30,30,30,30,14.4,30,30,16.667,30,30,14.533,30,30,14,30,30,14.767,30,30,14.433,0,0,0,0,0,0,0,0,0,0
131391276,Management,12,42.5,41,35.5,12.169,41.5,17,12.412,36.5,25.5,13.098,40.5,30.5,13.131,30,11.5,13.696,30,11.5,13.261,0,0,0,0,0,0,0,0,0,0
